# North Rhine-Westphalia: InVeKoS crop code -> render group.
# Read off the Teilschlaege WFS, see tools/gen_crop_codes.py.
# Columns: code, render group, detail label (as the service writes it),
# InVeKoS group, share of the sampled parcels in per mille.
718,vegetable,beetweise Zierpflanzen bis 4 K,SF,0.27
720,vegetable,beetweise Zierpflanzen ab 5 K.,SF,0.27
726,vegetable,Lilien (Türkenbund),ZP,0.00
730,vegetable,Seidenpflanzen,ZP,0.00
733,vegetable,Astern (Sommeraster),ZP,0.01
734,vegetable,Chrysantheme, Winteraster,ZP,0.01
735,vegetable,Strohblumen (Garten),ZP,0.00
739,vegetable,Tagetes,ZP,0.10
740,vegetable,Wucherblumen (Mutterkraut),ZP,0.00
741,vegetable,Strandflieder (Geflügelter S.),ZP,0.00
744,vegetable,Taubnesseln (Weiße Taubnessel),ZP,0.00
745,vegetable,Gladiolen (Gartengladiole),ZP,0.04
746,vegetable,Tulpen (Garten-Tulpe),ZP,0.01
747,vegetable,Trauben-Silberkerze,ZP,0.01
748,vegetable,Rittersporne,ZP,0.00
750,vegetable,Dahlien (Garten-Dahlie),ZP,0.03
751,vegetable,Rhodiola (Rosenwurz),ZP,0.01
756,vegetable,Löwenmäulchen,ZP,0.01
765,vegetable,Kapuzinerkresse,ZP,0.00
766,vegetable,Pfingstrosen (auch Strauch),ZP,0.16
768,vegetable,Wiesenknopf (Kl. W., Pimpine.),ZP,0.00
772,vegetable,Nelken (Bartn., Land/Edel),ZP,0.02
776,vegetable,Veilchen und Stiefmütterchen,ZP,0.00
777,vegetable,Phacelia,ZP,0.09
778,vegetable,Alpendistel,ZP,0.01
782,vegetable,Glockenblumen (Campanula),ZP,0.01
784,vegetable,Korischer Nieswurz, Rosen,ZP,0.00
785,vegetable,Eukalyptus,ZP,0.02
786,vegetable,Fingerhut,ZP,0.00
789,vegetable,Veronica/Hebe/Ehrenpreis,ZP,0.01
790,vegetable,Anemonen,ZP,0.00
792,vegetable,Kornrade,ZP,0.00
796,vegetable,Fetthenne, Mauerpfeffer,ZP,0.03
802,maize,Silphium (Durchwachs., Becher),EP,0.36
803,maize,Sudangras,EP,0.13
804,maize,Sida (Virginiamalve),EP,0.01
822,orchard,Streuobst (ohne Wiesennutzung),DA,0.09
825,orchard,Kernobst z.B. Äpfel, Birnen,DA,1.57
826,orchard,Steinobst z.B. Kirsche, Pflaum,DA,0.55
827,orchard,Beerenobst,DA,0.88
829,orchard,Sonstige Obstanlagen,DA,0.08
833,orchard,Haselnüsse,DA,0.04
834,orchard,Walnüsse,DA,0.08
838,orchard,Baumschulen (ohne Beerenobst),DA,2.24
839,orchard,Beerenobst zur Vermehrung,DA,0.01
840,orchard,Korbweiden,DA,0.04
841,orchard,Niederwald mit Kurzumtrieb,DA,0.34
842,vineyard,Rebland,DA,0.07
850,orchard,Sonstige Dauerkulturen,DA,0.20
851,vegetable,Rhabarber,DA,0.64
852,maize,Chinaschilf/Miscanthus,EP,1.32
853,maize,Riesenweizengras/Szarvasi-Gras,EP,0.04
860,vegetable,Spargel,DA,2.11
861,vegetable,Artischocke,DA,0.00
862,orchard,Heidekraut,DA,0.11
863,vegetable,Rosen, Schnittrosen,DA,0.06
865,orchard,Trüffel,DA,0.02
871,fallow,Wildpflanzenmischung (AUM),SF,0.25
910,fallow,Wildacker auf lw. Fläche,SF,3.44
